OID,FID_1,OBJECTID,CrashSever,CollisionT,Weather,Light,RoadSurfac,TrafficCon,City,Year,Fatality,Injury,X,Y,FULLNAME
631,1742,1143,A-Injury,Unknown,Clear,Daylight,Dry,Traffic Signal,Champaign,2007,0,1,-88.25800323,40.14649963,Co Rd 1100 E
632,2067,1468,A-Injury,Rear end,Rain,"Darkness, lighted road",Wet,Lane Use Marking,Champaign,2009,0,4,-88.25800323,40.13539886,Co Rd 1100 E
633,2193,1594,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2009,0,1,-88.25849915,40.18909836,Co Rd 1100 E
634,1917,1318,A-Injury,Angle,Clear,Daylight,Dry,No Controls,Unincorporated,2008,0,2,-88.3082962,40.24539948,Co Rd 800 E
635,2118,1519,A-Injury,Angle,Clear,Daylight,Dry,No Controls,Unincorporated,2009,0,3,-88.3082962,40.24539948,Co Rd 800 E
636,1210,611,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Urbana,2005,0,3,-88.20210266,40.0965004,Burkwood Ct E
637,283,2284,A-Injury,Turning,Fog/Smoke/Haze,Daylight,Dry,No Controls,Champaign,2013,0,1,-88.23930359,40.15670013,Co Rd 1200 E
638,1453,854,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2006,0,3,-88.23930359,40.15670013,Co Rd 1200 E
639,211,2212,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Unincorporated,2013,0,1,-88.46340179,40.19660187,Co Rd 0 E
640,572,2573,A-Injury,Turning,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2015,0,1,-88.46340179,40.20370102,Co Rd 0 E
641,2123,1524,A-Injury,Overturned,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2009,0,1,-87.99369812,40.19210052,Co Rd 2500 E
642,418,2419,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,2014,0,1,-88.19380188,40.29359818,Co Rd 1400 E
643,427,2428,A-Injury,Angle,Clear,Daylight,Dry,No Controls,Unincorporated,2014,0,4,-88.02890015,40.20100021,Co Rd 2300 E
644,439,2440,A-Injury,Turning,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2014,0,2,-88.23670197,39.90829849,Co Rd 1200 E
645,544,2545,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Savoy,2015,0,1,-88.23840332,40.06809998,Co Rd 1200 E
646,1233,634,A-Injury,Angle,Fog/Smoke/Haze,Dawn,Dry,Stop Sign/Flasher,Unincorporated,2005,0,3,-88.23819733,40.03969955,Co Rd 1200 E
647,1861,1262,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2008,0,4,-88.23789978,40.01050186,Co Rd 1200 E
648,2012,1413,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2009,0,1,-88.23799896,40.02529907,Co Rd 1200 E
649,2063,1464,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2009,0,4,-88.23789978,40.01050186,Co Rd 1200 E
650,2090,1491,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2009,0,1,-88.23789978,40.01050186,Co Rd 1200 E
651,2218,1619,A-Injury,Angle,Clear,Darkness,Dry,Stop Sign/Flasher,Unincorporated,2010,0,1,-88.23789978,40.01050186,Co Rd 1200 E
652,2219,1620,A-Injury,Overturned,Clear,Darkness,Ice,No Controls,Unincorporated,2010,0,1,-88.23809814,40.03250122,Co Rd 1200 E
653,2256,1657,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Unincorporated,2010,0,2,-88.23789978,40.01050186,Co Rd 1200 E
654,2,2003,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,2012,0,1,-88.02130127,40.35649872,Co Rd 2300 E
655,1240,641,A-Injury,Overturned,Snow,Darkness,Ice,No Controls,Unincorporated,2005,0,1,-88.02100372,40.25999832,Co Rd 2300 E
656,2145,1546,A-Injury,Angle,Rain,Daylight,Wet,No Controls,Unincorporated,2009,0,2,-88.07910156,40.35639954,Co Rd 2000 E
657,2156,1557,A-Injury,Angle,Clear,Daylight,Dry,No Controls,Unincorporated,2009,0,4,-88.07910156,40.35639954,Co Rd 2000 E
658,228,2229,A-Injury,Rear end,Clear,Darkness,Dry,No Controls,Unincorporated,2013,0,2,-88.34690094,40.33860016,Co Rd 600 E
659,252,2253,A-Injury,Animal,Clear,Daylight,Dry,No Controls,Unincorporated,2013,0,1,-88.34660339,40.27479935,Co Rd 600 E
660,305,2306,A-Injury,Fixed object,Clear,Darkness,Ice,No Controls,Unincorporated,2014,0,2,-88.34670258,40.29529953,Co Rd 600 E
661,313,2314,A-Injury,Head on,Clear,Darkness,Dry,No Controls,Unincorporated,2014,0,2,-88.34660339,40.27830124,Co Rd 600 E
662,577,2578,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,2015,0,1,-88.3463974,40.24140167,Co Rd 600 E
663,1226,627,A-Injury,Overturned,Clear,Daylight,Unknown,No Controls,Unincorporated,2005,0,1,-88.34660339,40.28889847,Co Rd 600 E
664,1599,1000,A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Unincorporated,2007,0,3,-88.34660339,40.27429962,Co Rd 600 E
665,1912,1313,A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Unincorporated,2008,0,1,-88.3463974,40.24470139,Co Rd 600 E
666,2013,1414,A-Injury,Fixed object,Clear,Daylight,Ice,No Controls,Unincorporated,2009,0,2,-88.34670258,40.30339813,Co Rd 600 E
667,2087,1488,A-Injury,Fixed object,Clear,Darkness,Dry,Other Warning Sign,Unincorporated,2009,0,2,-88.3470993,40.36220169,Co Rd 600 E
668,1505,906,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Urbana,2006,0,1,-88.21959686,40.13710022,Co Rd 1300 E
669,298,2299,A-Injury,Fixed object,Clear,Dusk,Dry,Lane Use Marking,Unincorporated,2014,0,1,-87.96829987,40.313201899999996,Co Rd 2600 E
670,2078,1479,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2009,0,1,-88.3391037,40.21500015,Co Rd 675 E
671,208,2209,A-Injury,Fixed object,Clear,Daylight,Ice,No Controls,Unincorporated,2013,0,2,-88.32460022,40.18619919,Co Rd 750 E
672,245,2246,A-Injury,Turning,Clear,Dawn,Dry,Traffic Signal,Rantoul,2013,0,2,-88.20059967,40.31159973,Twp Hwy 174 E
673,181,2182,A-Injury,Angle,Snow,Darkness,Snow or slush,Lane Use Marking,Unincorporated,2013,0,1,-88.39379883,40.22219849,Co Rd 350 E
674,314,2315,A-Injury,Rear end,Clear,Darkness,Dry,No Controls,Mahomet,2014,0,1,-88.39689636,40.19979858,Co Rd 350 E
675,723,124,A-Injury,Other non collision,Clear,Daylight,Dry,No Controls,Unincorporated,2002,0,1,-88.39399719,40.24520111,Co Rd 350 E
676,752,153,A-Injury,Angle,Clear,Dusk,Dry,Stop Sign/Flasher,Unincorporated,2002,0,1,-88.39389801,40.23799896,Co Rd 350 E
677,766,167,A-Injury,Sideswipe opposite direction,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2002,0,2,-88.39379883,40.23070145,Co Rd 350 E
678,1117,518,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2004,0,3,-88.39389801,40.23799896,Co Rd 350 E
679,1588,989,A-Injury,Animal,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,2007,0,2,-88.39409637,40.26990128,Co Rd 350 E
680,1877,1278,A-Injury,Sideswipe opposite direction,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,2008,0,2,-88.39399719,40.24649811,Co Rd 350 E
681,1445,846,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,2006,0,1,-88.39409637,40.27600098,Co Rd 350 E
682,1858,1259,A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Unincorporated,2008,0,1,-88.44110107,40.18259811,Co Rd 125 E
683,423,2424,A-Injury,Fixed object,Clear,Dusk,Dry,Lane Use Marking,Unincorporated,2014,0,1,-87.95850372,40.0788002,Co Rd 2700 E
684,424,2425,A-Injury,Turning,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2014,0,2,-87.95850372,40.07619858,Co Rd 2700 E
685,688,89,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,2003,0,1,-87.95819855,40.05770111,Co Rd 2700 E
686,927,328,A-Injury,Turning,Rain,Dawn,Dry,No Controls,Unincorporated,2000,0,2,-87.95850372,40.07619858,Co Rd 2700 E
687,973,374,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Unincorporated,2000,0,1,-87.95850372,40.076099400000004,Co Rd 2700 E
688,1010,411,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,1999,0,1,-87.95809937,40.04999924,Co Rd 2700 E
689,1172,573,A-Injury,Other object,Clear,Daylight,Dry,Other Warning Sign,Unincorporated,2005,0,1,-87.95850372,40.076099400000004,Co Rd 2700 E
690,1614,1015,A-Injury,Fixed object,Snow,Daylight,Snow or slush,No Controls,Unincorporated,2007,0,1,-87.95829773,40.05739975,Co Rd 2700 E
691,1639,1040,A-Injury,Turning,Clear,Daylight,Dry,Other Warning Sign,Unincorporated,2007,0,1,-87.95850372,40.07659912,Co Rd 2700 E
692,1882,1283,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Unincorporated,2008,0,1,-87.95829773,40.05739975,Co Rd 2700 E
693,1400,801,A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Unincorporated,2006,0,1,-88.21279907,40.26060104,Co Rd 1300 E
694,303,2304,A-Injury,Fixed object,Clear,Daylight,Wet,No Controls,Unincorporated,2014,0,1,-88.42510223,39.88600159,Co Rd 200 E
695,88,2089,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,2012,0,1,-88.06230164,40.07730103,Co Rd 2125 E
696,1238,639,A-Injury,Sideswipe same direction,Clear,Daylight,Dry,No Controls,Unincorporated,2005,0,1,-88.06189728,40.04769897,Co Rd 2125 E
697,1254,655,A-Injury,Other non collision,Clear,Darkness,Wet,Other Warning Sign,Unincorporated,2005,0,1,-88.42299652,40.35469818,Co Rd 200 E
698,493,2494,A-Injury,Overturned,Rain,Daylight,Wet,No Controls,Unincorporated,2015,0,3,-88.16269684,40.12239838,Co Rd 1600 E
699,930,331,A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Urbana,2000,0,1,-88.16280365,40.11330032,Co Rd 1600 E
700,1401,802,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Unincorporated,2006,0,1,-88.16290283,40.13479996,Co Rd 1600 E
701,1402,803,A-Injury,Fixed object,Clear,Darkness,Dry,Other Warning Sign,Unincorporated,2006,0,3,-88.16329956,40.18730164,Co Rd 1600 E
702,1606,1007,A-Injury,Overturned,Rain,Darkness,Wet,No Controls,Unincorporated,2007,0,1,-88.16280365,40.12630081,Co Rd 1600 E
703,1762,1163,A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Urbana,2007,0,1,-88.16259766,40.116901399999996,Co Rd 1600 E
704,1764,1165,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Urbana,2007,0,1,-88.16259766,40.11520004,Co Rd 1600 E
705,1886,1287,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2008,0,1,-88.16269684,40.12279892,Co Rd 1600 E
706,36,2037,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Urbana,2012,0,1,-88.21920013,40.10369873,Co Rd 1300 E
707,108,2109,A-Injury,Pedestrian,Rain,Daylight,Wet,Other,Urbana,2012,0,3,-88.21920013,40.10369873,Co Rd 1300 E
708,237,2238,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Urbana,2013,0,3,-88.2193985,40.11640167,Co Rd 1300 E
709,382,2383,A-Injury,Pedestrian,Clear,Daylight,Dry,Other,Urbana,2014,0,1,-88.21920013,40.104599,Co Rd 1300 E
710,477,2478,A-Injury,Turning,Rain,Daylight,Wet,Stop Sign/Flasher,Urbana,2015,0,2,-88.21959686,40.12990189,Co Rd 1300 E
711,495,2496,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Urbana,2015,0,2,-88.21920013,40.104599,Co Rd 1300 E
712,810,211,A-Injury,Angle,Clear,"Darkness, lighted road",Dry,Traffic Signal,Urbana,2001,0,3,-88.2193985,40.11640167,Co Rd 1300 E
713,914,315,A-Injury,Turning,Clear,Dusk,Dry,Traffic Signal,Urbana,2000,0,2,-88.2193985,40.11640167,Co Rd 1300 E
714,1295,696,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Urbana,2005,0,2,-88.2193985,40.1155014,Co Rd 1300 E
715,1301,702,A-Injury,Rear end,Clear,Daylight,Dry,Traffic Signal,Urbana,2005,0,1,-88.2193985,40.11640167,Co Rd 1300 E
716,1508,909,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Urbana,2006,0,2,-88.2193985,40.11729813,Co Rd 1300 E
717,1557,958,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Urbana,2006,0,1,-88.21959686,40.12739944,Co Rd 1300 E
718,1765,1166,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Urbana,2007,0,2,-88.21920013,40.10540009,Co Rd 1300 E
719,1780,1181,A-Injury,Rear end,Clear,Dusk,Dry,No Controls,Urbana,2007,0,1,-88.21949768,40.12390137,Co Rd 1300 E
720,1872,1273,A-Injury,Pedalcyclist,Clear,Daylight,Dry,No Controls,Urbana,2008,0,1,-88.21920013,40.10279846,Co Rd 1300 E
721,1900,1301,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Urbana,2008,0,1,-88.21949768,40.12419891,Co Rd 1300 E
722,2100,1501,A-Injury,Rear end,Rain,Daylight,Wet,No Controls,Urbana,2009,0,1,-88.2193985,40.11449814,Co Rd 1300 E
723,1231,632,A-Injury,Angle,Clear,Daylight,Dry,No Controls,Unincorporated,2005,0,2,-88.23220062,40.26779938,Co Rd 1200 E
724,1611,1012,A-Injury,Fixed object,Clear,Dawn,Dry,No Controls,Unincorporated,2007,0,4,-88.09799957,40.37229919,Co Rd 1900 E
725,1823,1224,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2008,0,2,-88.0983963,40.32339859,Co Rd 1900 E
726,2153,1554,A-Injury,Fixed object,Clear,Darkness,Wet,No Controls,Unincorporated,2009,0,1,-88.21340179,40.38850021,Co Rd 1300 E
727,151,2152,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,2012,0,1,-87.96080017,40.21279907,Co Rd 2700 E
728,422,2423,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,2014,0,1,-87.96040344,40.18429947,Co Rd 2700 E
729,908,309,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,2000,0,2,-87.95989990000001,40.14329910000001,Co Rd 2700 E
730,1243,644,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,2005,0,1,-87.96009827,40.1570015,Co Rd 2700 E
731,1407,808,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2006,0,1,-87.96040344,40.21409988,Co Rd 2700 E
732,1408,809,A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Unincorporated,2006,0,1,-87.96050262,40.18920135,Co Rd 2700 E
733,1613,1014,A-Injury,Fixed object,Fog/Smoke/Haze,Darkness,Dry,No Controls,Unincorporated,2007,0,1,-87.96080017,40.22169876,Co Rd 2700 E
734,1825,1226,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,2008,0,1,-87.95980072,40.14189911,Co Rd 2700 E
735,1888,1289,A-Injury,Pedalcyclist,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2008,0,1,-87.95890045,40.12350082,Co Rd 2700 E
736,149,2150,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2012,0,1,-88.04759979,40.0909996,Co Rd 2200 E
737,229,2230,A-Injury,Angle,Clear,Dusk,Dry,Stop Sign/Flasher,Unincorporated,2013,0,4,-88.04769897,40.0909996,Co Rd 2200 E
738,1056,457,A-Injury,Fixed object,Clear,Dawn,Dry,No Controls,Unincorporated,1999,0,1,-88.04769897,40.08000183,Co Rd 2200 E
739,1239,640,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2005,0,2,-88.04759979,40.09090042,Co Rd 2200 E
740,2254,1655,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2010,0,2,-88.04769897,40.0909996,Co Rd 2200 E
741,2257,1658,A-Injury,Angle,Rain,Daylight,Wet,Stop Sign/Flasher,Unincorporated,2010,0,1,-88.04769897,40.0909996,Co Rd 2200 E
742,1292,693,A-Injury,Fixed object,Rain,"Darkness, lighted road",Wet,No Controls,Urbana,2005,0,1,-88.21579742,40.12260056, 
743,167,2168,A-Injury,Pedalcyclist,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2012,0,1,-88.16909790000001,40.14210129,Brownfield Rd
744,1199,600,A-Injury,Angle,Clear,Daylight,Unknown,Stop Sign/Flasher,Savoy,2005,0,1,-88.25140381,40.07429886,Burwash Ave
745,101,2102,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Champaign,2012,0,1,-88.26139832,40.08729935,Harrington Dr
746,112,2113,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Champaign,2012,0,1,-88.26100159,40.08720016,Harrington Dr
747,1584,985,A-Injury,Parked motor vehicle,Clear,Darkness,Dry,No Controls,Unincorporated,2006,0,1,-88.26860046,40.08679962,Harrington Dr
748,2248,1649,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2010,0,2,-88.25749969,40.08649826,Harrington Dr
749,212,2213,A-Injury,Turning,Clear,Darkness,Dry,No Controls,Champaign,2013,0,2,-88.31420135,40.08969879,Co Rd 25
750,1528,929,A-Injury,Head on,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2006,0,5,-88.31420135,40.09199905,Co Rd 25
751,1529,930,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2006,0,1,-88.31439972,40.10359955,Co Rd 25
752,2136,1537,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Unincorporated,2009,0,1,-88.3144989,40.11320114,Co Rd 25
753,71,2072,A-Injury,Rear end,Clear,Darkness,Dry,Lane Use Marking,Champaign,2012,0,3,-88.25800323,40.13589859, 
754,349,2350,A-Injury,Rear end,Clear,Daylight,Dry,Lane Use Marking,Champaign,2014,0,1,-88.25800323,40.13589859, 
755,1296,697,A-Injury,Pedalcyclist,Clear,Daylight,Dry,Traffic Signal,Champaign,2005,0,1,-88.25800323,40.13579941, 
756,1128,529,A-Injury,Sideswipe same direction,Clear,"Darkness, lighted road",Wet,Lane Use Marking,Champaign,2004,0,1,-88.25789642,40.13420105, 
757,1961,1362,A-Injury,Rear end,Clear,Daylight,Dry,Traffic Signal,Champaign,2008,0,1,-88.25800323,40.13420105, 
758,1977,1378,A-Injury,Rear end,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,2008,0,1,-88.25800323,40.13420105, 
759,2207,1608,A-Injury,Rear end,Clear,Daylight,Dry,Traffic Signal,Champaign,2009,0,1,-88.25800323,40.13420105, 
760,351,2352,A-Injury,Fixed object,Clear,Daylight,Dry,Lane Use Marking,Champaign,2014,0,1,-88.28050232,40.14350128, 
761,1164,565,A-Injury,Rear end,Fog/Smoke/Haze,Darkness,Other,Traffic Signal,Savoy,2005,0,1,-88.25599670000001,40.02470016,Co Rd 18
762,578,2579,A-Injury,Parked motor vehicle,Rain,"Darkness, lighted road",Wet,No Controls,Champaign,2015,0,1,-88.28730011,40.0943985,Scottsdale Dr
763,1460,861,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Champaign,2006,0,3,-88.28739929,40.0945015,Scottsdale Dr
764,2189,1590,A-Injury,Parked motor vehicle,Clear,Darkness,Dry,No Controls,Champaign,2009,0,2,-88.28790283,40.09500122,Scottsdale Dr
765,1367,768,A-Injury,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,2005,0,1,-88.25340271,40.09410095,Breen Dr
766,1526,927,A-Injury,Pedalcyclist,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2006,0,1,-88.28600311,40.10929871,Kenwood Rd
767,1268,669,A-Injury,Fixed object,Snow,Darkness,Snow or slush,No Controls,Champaign,2005,0,1,-88.31340027,40.10419846,Crail Rd
768,1723,1124,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2007,0,1,-88.27880096,40.125701899999996,Parkland Ct
769,468,2469,A-Injury,Parked motor vehicle,Clear,Darkness,Dry,No Controls,Urbana,2015,0,1,-88.18520355,40.08129883,Myra Ridge Dr
770,1973,1374,A-Injury,Turning,Clear,Darkness,Wet,No Controls,Urbana,2008,0,1,-88.18049622,40.10319901,Rainbow View Ct
771,2215,1616,A-Injury,Parked motor vehicle,Clear,Darkness,Dry,No Controls,Urbana,2009,0,2,-88.17590332,40.10400009,Rainbow View Ct
772,2302,1703,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Champaign,2010,0,1,-88.25060272,40.14199829,Moreland Blvd
773,1384,785,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Mahomet,2006,0,1,-88.41249847,40.20270157,Crowley Rd
774,1256,657,A-Injury,Animal,Clear,Darkness,Dry,No Controls,Unincorporated,2005,0,1,-88.3707962,40.20479965,Co Rd 50
775,1461,862,A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,2006,0,1,-87.99269867,40.076099400000004,Homer Lake Rd
776,459,2460,A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Ogden,2015,0,1,-87.95880127,40.11669922,Market St
777,2045,1446,A-Injury,Fixed object,Clear,Daylight,Dry,Lane Use Marking,Ogden,2009,0,1,-87.95880127,40.10929871,Market St
778,269,2270,A-Injury,Angle,Clear,Dusk,Dry,Stop Sign/Flasher,Mahomet,2013,0,1,-88.40270233,40.19490051,Co Rd 28
779,431,2432,A-Injury,Fixed object,Snow,Daylight,Ice,No Controls,Sidney,2014,0,1,-88.08090209999999,40.02590179,Co Rd 15
780,1185,586,A-Injury,Parked motor vehicle,Clear,Daylight,Dry,No Controls,Rantoul,2005,0,1,-88.16750336,40.30720139,Broadmeadow Rd
781,2239,1640,A-Injury,Overturned,Clear,Darkness,Dry,No Controls,Bondville,2010,0,1,-88.36959839,40.11589813,Market St
782,1891,1292,A-Injury,Parked motor vehicle,Clear,Daylight,Dry,No Controls,Tolono,2008,0,1,-88.26560211,39.97159958,Hickory Dr
783,1111,512,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Urbana,2004,0,2,-88.18360138,40.11600113,State Rte 130
784,1,2002,A-Injury,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Urbana,2012,0,1,-88.21260071,40.11650085,US Hwy 45
785,37,2038,A-Injury,Turning,Clear,"Darkness, lighted road",Dry,Traffic Signal,Urbana,2012,0,1,-88.20749664,40.11640167,US Hwy 45
786,46,2047,A-Injury,Rear end,Snow,"Darkness, lighted road",Wet,No Controls,Champaign,2012,0,1,-88.24690247,40.08359909,US Hwy 45
787,130,2131,A-Injury,Rear end,Clear,Daylight,Dry,Lane Use Marking,Champaign,2012,0,1,-88.2437973,40.10290146,US Hwy 45
788,145,2146,A-Injury,Pedalcyclist,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,2012,0,1,-88.2173996,40.11650085,US Hwy 45
789,170,2171,A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Urbana,2012,0,1,-88.21130371,40.11650085,US Hwy 45
790,186,2187,A-Injury,Angle,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,2013,0,2,-88.24349976,40.11019897,US Hwy 45
791,188,2189,A-Injury,Head on,Snow,Daylight,Wet,No Controls,Savoy,2013,0,1,-88.25140381,40.05469894,US Hwy 45
792,219,2220,A-Injury,Rear end,Clear,Daylight,Dry,Traffic Signal,Urbana,2013,0,2,-88.22399902,40.11640167,US Hwy 45
793,266,2267,A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Savoy,2013,0,2,-88.248703,40.07180023,US Hwy 45
794,294,2295,A-Injury,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Urbana,2013,0,1,-88.22399902,40.11640167,US Hwy 45
795,318,2319,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Champaign,2014,0,1,-88.24669647,40.0848999,US Hwy 45
796,324,2325,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Champaign,2014,0,3,-88.24539948,40.0929985,US Hwy 45
797,331,2332,A-Injury,Angle,Clear,Daylight,Snow or slush,Traffic Signal,Champaign,2014,0,1,-88.24459839,40.09809875,US Hwy 45
798,332,2333,A-Injury,Parked motor vehicle,Snow,Daylight,Snow or slush,Lane Use Marking,Champaign,2014,0,1,-88.22889709,40.11429977,US Hwy 45
799,342,2343,A-Injury,Turning,Clear,Daylight,Dry,No Controls,Champaign,2014,0,1,-88.24340057,40.10900116,US Hwy 45
800,360,2361,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Champaign,2014,0,1,-88.24649811,40.08620071,US Hwy 45
801,367,2368,A-Injury,Rear end,Clear,Daylight,Dry,Traffic Signal,Champaign,2014,0,3,-88.24639893,40.08660126,US Hwy 45
802,369,2370,A-Injury,Head on,Clear,Daylight,Dry,No Controls,Urbana,2014,0,3,-88.22370148,40.11640167,US Hwy 45
803,377,2378,A-Injury,Angle,Clear,Daylight,Dry,No Controls,Urbana,2014,0,2,-88.22090149,40.11640167,US Hwy 45
804,396,2397,A-Injury,Fixed object,Clear,"Darkness, lighted road",Dry,No Controls,Urbana,2014,0,1,-88.20490265,40.11640167,US Hwy 45
805,400,2401,A-Injury,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,2014,0,1,-88.20040131,40.12540054,US Hwy 45
806,405,2406,A-Injury,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Urbana,2014,0,1,-88.21279907,40.11650085,US Hwy 45
807,411,2412,A-Injury,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Urbana,2014,0,1,-88.21569824,40.11650085,US Hwy 45
808,471,2472,A-Injury,Turning,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,2015,0,1,-88.20110321,40.12379837,US Hwy 45
809,481,2482,A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Urbana,2015,0,1,-88.2193985,40.11640167,US Hwy 45
810,490,2491,A-Injury,Sideswipe opposite direction,Clear,Daylight,Dry,No Controls,Urbana,2015,0,4,-88.22100067,40.11640167,US Hwy 45
811,498,2499,A-Injury,Sideswipe opposite direction,Clear,Daylight,Dry,No Controls,Urbana,2015,0,2,-88.20159912,40.12279892,US Hwy 45
812,535,2536,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Champaign,2015,0,2,-88.24520111,40.0945015,US Hwy 45
813,538,2539,A-Injury,Other non collision,Cloudy/Overcast,"Darkness, lighted road",Wet,No Controls,Savoy,2015,0,1,-88.24829865,40.07440186,US Hwy 45
814,633,34,A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Urbana,2003,0,1,-88.21489716,40.11650085,US Hwy 45
815,638,39,A-Injury,Pedestrian,Clear,"Darkness, lighted road",Dry,No Controls,Urbana,2003,0,1,-88.20159912,40.1228981,US Hwy 45
816,641,42,A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Champaign,2003,0,1,-88.24349976,40.11019897,US Hwy 45
